timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-02-18T01:00:11,codecarbon,b16f6586-cce6-4c99-9351-488daada8f5e,0.0194137096405029,4.004553658553017e-08,2.0627452108371367e-06,14.0,0.0,2.9050111770629883,6.20461834801568e-08,0,8.01694497454263e-10,6.284787797761108e-08,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:09:13,codecarbon,128a088a-dab9-4d4c-94dc-5c8b2c01d3e5,0.951896905899048,2.822284022611003e-06,2.9649051332354223e-06,14.0,0.0,2.9050111770629883,3.6800037489997017e-06,0,7.493178931857377e-07,4.42932164218544e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:10:12,codecarbon,1944a343-c7de-4f8a-bf59-515d4cfa2d25,0.8910636901855469,2.644376634047062e-06,2.96766287659687e-06,14.0,0.0,2.9050111770629883,3.447914918263753e-06,0,7.021970341251441e-07,4.150111952388897e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:10:41,codecarbon,2f10be82-9255-4eb0-ad6b-d6fe65636998,1.9210188388824463,5.7261262748595465e-06,2.9807757003521754e-06,14.0,0.0,2.9050111770629883,7.453006770875719e-06,0,1.5336348399349235e-06,8.986641610810642e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:11:16,codecarbon,f07c3185-1c70-4998-86e3-822fc9f0acac,0.906325340270996,2.6866056756607392e-06,2.964283967672613e-06,14.0,0.0,2.9050111770629883,3.505238029691908e-06,0,7.111486159772085e-07,4.216386645669117e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:12:00,codecarbon,dbdaa3bf-3677-495a-a950-23ce1ca682b7,1.8807218074798584,5.604262874990881e-06,2.979846808125502e-06,14.0,0.0,2.9050111770629883,7.2945752408769395e-06,0,1.5008126937961685e-06,8.795387934673108e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:12:35,codecarbon,59b75a29-3852-4e95-9954-418d420b7ec8,1.1687922477722168,3.4807187477617773e-06,2.978047428357111e-06,14.0,0.0,2.9050111770629883,4.532877074347602e-06,0,9.297988138001756e-07,5.462675888147778e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:13:01,codecarbon,27f31d84-8747-4262-b776-64fec8c32aa6,0.8510262966156006,2.520001835455539e-06,2.9611327469870144e-06,14.0,0.0,2.9050111770629883,3.286823299196032e-06,0,6.680935620077359e-07,3.954916861203768e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T01:17:09,codecarbon,8e3b2a59-1311-4a9c-93fc-78b9672399f9,1.9035680294036863,5.67646543350363e-06,2.9820134325757952e-06,14.0,0.0,2.9050111770629883,7.387794256210327e-06,0,1.5209091181844767e-06,8.908703374394803e-06,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
2024-02-18T16:49:07,codecarbon,bb86786a-ed43-4693-95e0-e6a9c5a01b1e,15.425134897232056,4.606090737653829e-05,2.986094298909738e-06,14.0,0.0,2.9050111770629883,5.988489402665032e-05,0,1.2403568887459451e-05,7.228846291410976e-05,India,IND,,,,Windows-10-10.0.22621-SP0,3.10.2,2.3.4,8,11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,,,,,7.746696472167969,machine,N,1.0
